UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;LOCALIDAD;CONSUMO_KW;POTENCIA_CONTRATADA;MONTO_SOLES
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;PAUCAPAMPA;10.77;85;534
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;BUENOS AIRES;10.77;85;623.3
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;EL TRIUNFO (SARAUS);10.77;85;148.1
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;EL TRIUNFO (SARAUS);10.77;85;555.6
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;CHUÑIGA;10.77;85;520
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;NUEVO HORIZONTE;10.77;85;623.3
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;NUEVA ALIANZA;10.77;85;622.8
60312;CAJAMARCA;CELENDIN;LA LIBERTAD DE PALLAN;ROSAPATA;10.77;85;614.2
60307;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;MUYOC CHICO;10.77;85;326.7
60310;CAJAMARCA;CELENDIN;SUCRE;LAGUNA;10.77;85;401.1
60310;CAJAMARCA;CELENDIN;SUCRE;CHALLAYHUACO;10.77;85;373.7
60307;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;LOROPAMPA;10.77;85;308.6
60302;CAJAMARCA;CELENDIN;CHUMUCH;VISTA  HERMOSA;10.77;85;561.7
60202;CAJAMARCA;CAJABAMBA;CACHACHI;LICLIPAMPA ALTO;10.77;120;232.8
60301;CAJAMARCA;CELENDIN;CELENDIN;POYUNTECUCHO;10.77;120;297.3
60311;CAJAMARCA;CELENDIN;UTCO;LIMON;10.77;120;319.9
61007;CAJAMARCA;SAN MARCOS;JOSE SABOGAL;CASERIO EL LAYO CP GELIC;10.77;120;220.1
60202;CAJAMARCA;CAJABAMBA;CACHACHI;LA FILA ALTA;10.77;120;33.2
60203;CAJAMARCA;CAJABAMBA;CONDEBAMBA;EL HUAYO;10.77;120;22.1
60203;CAJAMARCA;CAJABAMBA;CONDEBAMBA;CHICHIR;10.77;120;326.5
60203;CAJAMARCA;CAJABAMBA;CONDEBAMBA;MALCAS;10.77;120;447.2
60203;CAJAMARCA;CAJABAMBA;CONDEBAMBA;MALCAS;10.77;120;316.6
60203;CAJAMARCA;CAJABAMBA;CONDEBAMBA;EL HUAYO;10.77;120;204.3
60203;CAJAMARCA;CAJABAMBA;CONDEBAMBA;EL HUAYO;10.77;120;347
60202;CAJAMARCA;CAJABAMBA;CACHACHI;PAUQUILLA;10.77;120;421
60204;CAJAMARCA;CAJABAMBA;SITACOCHA;PUCARITA;10.77;120;518.2
60204;CAJAMARCA;CAJABAMBA;SITACOCHA;YANAYACU;10.77;120;428.4
60202;CAJAMARCA;CAJABAMBA;CACHACHI;LICLIPAMPA ALTO;10.77;120;379.8
60203;CAJAMARCA;CAJABAMBA;CONDEBAMBA;MALCAS;10.77;120;522.3
60203;CAJAMARCA;CAJABAMBA;CONDEBAMBA;SAN ELIAS;10.77;120;406.6
60204;CAJAMARCA;CAJABAMBA;SITACOCHA;CASERIO PAUQUITA;10.77;120;437.8
60202;CAJAMARCA;CAJABAMBA;CACHACHI;LICLIPAMPA ALTO;10.77;120;458.3
60301;CAJAMARCA;CELENDIN;CELENDIN;LLANGUAT;10.77;120;263.2
60301;CAJAMARCA;CELENDIN;CELENDIN;LLANGUAT;10.77;120;120.7
60304;CAJAMARCA;CELENDIN;HUASMIN;DINAMARCA;10.77;120;310.3
60304;CAJAMARCA;CELENDIN;HUASMIN;EL LIRIO;10.77;120;409.6
60304;CAJAMARCA;CELENDIN;HUASMIN;CURA PAMPA;10.77;120;444.9
60304;CAJAMARCA;CELENDIN;HUASMIN;YANAQUERO - CHORRO BLANCO;10.77;120;437.9
60307;CAJAMARCA;CELENDIN;MIGUEL IGLESIAS;BELLAVISTA;10.77;120;464.5
