UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,LOCALIDAD,CONSUMO_KW,POTENCIA_CONTRATADA,MONTO_SOLES,Latitud,Longitud
60501,CAJAMARCA,CONTUMAZA,CONTUMAZA,AGUA SUCIA,10.77,85.0,11.0,-7.1282,-78.5753
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,SAN JOSE DE ASTOBAMBA,10.77,85.0,10.9,-13.7090,-74.9306
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,PUCAPAMPA,10.77,85.0,228.1,-13.7090,-74.9306
90401,HUANCAVELICA,CASTROVIRREYNA,CASTROVIRREYNA,LA LIBERTAD,10.77,85.0,429.6,-13.7284,-74.9307
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,CHOCLOCOCHA,10.77,85.0,97.6,-13.7090,-74.9306
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,CHOCLOCOCHA,10.77,85.0,132.2,-13.7090,-74.9306
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,CHOCLOCOCHA,10.77,85.0,73.9,-13.7090,-74.9306
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,SAN JOSE DE ASTOBAMBA,10.77,85.0,325.9,-13.7090,-74.9306
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,CAUDALOSA GRANDE,10.77,85.0,144.9,-13.7090,-74.9306
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,SANTA ANA,10.77,85.0,349.0,-13.7090,-74.9306
90411,HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,SAN JOSE DE ASTOBAMBA,10.77,85.0,10.9,-13.7090,-74.9306
40103,AREQUIPA,AREQUIPA,CAYMA,CHARCANI V (CHARCANI GRANDE),10.77,85.0,14.1,-16.4091,-71.5173
40106,AREQUIPA,AREQUIPA,CHIGUATA,CARI CARI-LA VICTORIA,10.77,85.0,33.2,-16.5722,-71.6556
40507,AREQUIPA,CAYLLOMA,HUAMBO,CANCO,10.77,85.0,10.9,-15.6440,-71.6574
150201,LIMA,BARRANCA,BARRANCA,PAMPA SAN ALEJO (PAMPAS),86.0,3.0,136.9,-10.7170,-77.7539
150201,LIMA,BARRANCA,BARRANCA,VINTO BAJO,31.0,3.0,26.8,-10.7319,-77.7494
150201,LIMA,BARRANCA,BARRANCA,PAMPA EL ANGEL,5.0,3.0,8.0,-10.7413,-77.7489
150201,LIMA,BARRANCA,BARRANCA,AGROPEMSA,74.0,3.0,135.3,-10.7300,-77.7425
150201,LIMA,BARRANCA,BARRANCA,PAMPA SAN ALEJO (PAMPAS),0.0,3.0,6.2,-10.7170,-77.7539
150201,LIMA,BARRANCA,BARRANCA,AGROPEMSA,100.0,0.93,92.4,-10.7300,-77.7425
150201,LIMA,BARRANCA,BARRANCA,AGROPEMSA,109.0,1.36,308.3,-10.7300,-77.7425
